"","x"
"1019","KNDC1"
"1020","KREMEN1"
"1021","KRIT1"
"1022","KRT1"
"1023","KRT10"
"1024","KRT17"
"1025","KRT2"
"1026","KRT36"
"1027","KRT84"
"1028","L1CAM"
"1029","L3MBTL1"
"1030","LAG3"
"1031","LAMA1"
"1032","LAMA2"
"1033","LAMA3"
"1034","LAMA4"
"1035","LAMA5"
"1036","LARP4"
"1037","LATS1"
"1038","LATS2"
"1039","LBH"
"1040","LBX1"
"1041","LBX2"
"1042","LDLR"
"1043","LDLRAD4"
"1044","LEF1"
"1045","LEO1"
"1046","LEP"
"1047","LFNG"
"1048","LGALS1"
"1049","LGALS12"
"1050","LGALS3"
"1051","LGALS9"
"1052","LGI4"
"1053","LGMN"
"1054","LGR4"
"1055","LHX1"
"1056","LHX2"
"1057","LIF"
"1058","LIG4"
"1059","LILRB1"
"1060","LILRB2"
"1061","LILRB3"
"1062","LILRB4"
"1063","LIMD1"
"1064","LIMK1"
"1065","LIMS1"
"1066","LIMS2"
"1067","LIN28A"
"1068","LINGO1"
"1069","LINGO2"
"1070","LLPH"
"1071","LMO1"
"1072","LMO2"
"1073","LMO3"
"1074","LMOD3"
"1075","LMX1A"
"1076","LNPK"
"1077","LOX"
"1078","LOXL2"
"1079","LOXL3"
"1080","LPAR1"
"1081","LPAR3"
"1082","LPIN1"
"1083","LPL"
"1084","LRG1"
"1085","LRIG2"
"1086","LRP1"
"1087","LRP2"
"1088","LRP3"
"1089","LRP4"
"1090","LRP5"
"1091","LRP8"
"1092","LRRC17"
"1093","LRRC24"
"1094","LRRC4B"
"1095","LRRC4C"
"1096","LRRC8A"
"1097","LRRK2"
"1098","LRRN1"
"1099","LRRN3"
"1100","LRRTM2"
"1101","LRRTM3"
"1102","LRTM2"
"1103","LST1"
"1104","LTA"
"1105","LTBP3"
"1106","LTBP4"
"1107","LTF"
"1108","LTK"
"1109","LYN"
"1110","LZTS1"
"1111","LZTS3"
"1112","MACROH2A1"
"1113","MACROH2A2"
"1114","MAEL"
"1115","MAF"
"1116","MAFB"
"1117","MAFF"
"1118","MAFG"
"1119","MAG"
"1120","MAGED1"
"1121","MAGI2"
"1122","MALT1"
"1123","MAMSTR"
"1124","MAN2A1"
"1125","MAP1B"
"1126","MAP2"
"1127","MAP3K13"
"1128","MAP4K4"
"1129","MAP6"
"1130","MAPK11"
"1131","MAPK12"
"1132","MAPK14"
"1133","MAPK6"
"1134","MAPK7"
"1135","MAPK9"
"1136","MAPT"
"1137","MARCHF5"
"1138","MARK1"
"1139","MARK2"
"1140","MATN1"
"1141","MBD5"
"1142","MBNL3"
"1143","MBOAT2"
"1144","MCF2"
"1145","MCU"
"1146","MDK"
"1147","MDM2"
"1148","MED1"
"1149","MED12"
"1150","MEDAG"
"1151","MEF2A"
"1152","MEF2C"
"1153","MEGF10"
"1154","MEGF8"
"1155","MEIS1"
"1156","MEIS2"
"1157","MELTF"
"1158","MEN1"
"1159","MESP1"
"1160","METRN"
"1161","METRNL"
"1162","METTL14"
"1163","METTL3"
"1164","MEX3C"
"1165","MFF"
"1166","MFI"
"1167","MFSD2A"
"1168","MGP"
"1169","MIB1"
"1170","MIEF2"
"1171","MINAR1"
"1172","MITF"
"1173","MIXL1"
"1174","MKKS"
"1175","MKLN1"
"1176","MKS1"
"1177","MLH1"
"1178","MLLT3"
"1179","MMD"
"1180","MMD2"
"1181","MME"
"1182","MMP11"
"1183","MMP14"
"1184","MMP20"
"1185","MMP9"
"1186","MOSMO"
"1187","MOV10"
"1188","MPL"
