"","x"
"772","CLASP2"
"773","CLC"
"774","CLCF1"
"775","CLCN2"
"776","CLDN1"
"777","CLDN11"
"778","CLDN18"
"779","CLDN3"
"780","CLDN4"
"781","CLDN5"
"782","CLEC14A"
"783","CLEC3A"
"784","CLEC3B"
"785","CLIC4"
"786","CLMN"
"787","CLMP"
"788","CLN8"
"789","CLP1"
"790","CLRN1"
"791","CLRN2"
"792","CLSTN1"
"793","CLSTN2"
"794","CLSTN3"
"795","CLU"
"796","CMA1"
"797","CMIP"
"798","CMKLR1"
"799","CMTM3"
"800","CMTM7"
"801","CMTM8"
"802","CNFN"
"803","CNGB1"
"804","CNMD"
"805","CNN2"
"806","CNNM4"
"807","CNOT1"
"808","CNOT2"
"809","CNOT3"
"810","CNOT4"
"811","CNR1"
"812","CNTF"
"813","CNTFR"
"814","CNTN1"
"815","CNTN2"
"816","CNTN3"
"817","CNTN4"
"818","CNTN5"
"819","CNTN6"
"820","CNTNAP1"
"821","CNTNAP2"
"822","CNTRL"
"823","COBL"
"824","COL10A1"
"825","COL11A1"
"826","COL11A2"
"827","COL12A1"
"828","COL13A1"
"829","COL15A1"
"830","COL18A1"
"831","COL19A1"
"832","COL1A1"
"833","COL1A2"
"834","COL22A1"
"835","COL27A1"
"836","COL2A1"
"837","COL3A1"
"838","COL4A1"
"839","COL4A2"
"840","COL4A3"
"841","COL4A4"
"842","COL5A1"
"843","COL5A2"
"844","COL5A3"
"845","COL6A1"
"846","COL6A3"
"847","COL7A1"
"848","COL8A1"
"849","COL8A2"
"850","COL9A1"
"851","COL9A2"
"852","COL9A3"
"853","COLEC11"
"854","COMP"
"855","COPS3"
"856","COQ7"
"857","COQ8B"
"858","CORO1C"
"859","CPAMD8"
"860","CPB2"
"861","CPE"
"862","CPLX2"
"863","CPNE1"
"864","CPNE6"
"865","CPS1"
"866","CPT1A"
"867","CPT2"
"868","CR1"
"869","CR2"
"870","CRABP1"
"871","CRABP2"
"872","CRAMP1"
"873","CRB1"
"874","CRB2"
"875","CREB1"
"876","CREB3L1"
"877","CREB3L2"
"878","CRELD1"
"879","CREM"
"880","CRH"
"881","CRIM1"
"882","CRIP1"
"883","CRIP2"
"884","CRISPLD2"
"885","CRLF1"
"886","CRMP1"
"887","CRPPA"
"888","CRTAM"
"889","CRX"
"890","CRYAB"
"891","CRYBA1"
"892","CRYBA2"
"893","CRYBA4"
"894","CRYBB1"
"895","CRYBB2"
"896","CRYBB3"
"897","CRYBG3"
"898","CRYGA"
"899","CRYGB"
"900","CRYGC"
"901","CRYGD"
"902","CRYGN"
"903","CRYGS"
"904","CSF1"
"905","CSF1R"
"906","CSF2"
"907","CSF3"
"908","CSF3R"
"909","CSH1"
"910","CSH2"
"911","CSHL1"
"912","CSK"
"913","CSMD1"
"914","CSN2"
"915","CSN3"
"916","CSPG4"
"917","CSPG5"
"918","CSRNP1"
"919","CSRP2"
"920","CSRP3"
"921","CST7"
"922","CSTA"
"923","CTC1"
"924","CTDP1"
"925","CTF1"
"926","CTHRC1"
"927","CTLA4"
"928","CTNNA1"
"929","CTNNA2"
"930","CTNNBIP1"
"931","CTNND1"
"932","CTNND2"
"933","CTNS"
"934","CTR9"
"935","CTSC"
"936","CTSH"
"937","CTSK"
"938","CTSL"
"939","CTSV"
"940","CTTN"
"941","CTTNBP2"
"942","CUL4A"
"943","CUL7"
"944","CUSTOS"
"945","CUX1"
"946","CUX2"
"947","CX3CL1"
"948","CX3CR1"
"949","CXADR"
"950","CXCL1"
"951","CXCL10"
"952","CXCL12"
"953","CXCL13"
"954","CXCL17"
"955","CXCL8"
"956","CXCR2"
"957","CXCR3"
"958","CXCR4"
"959","CXCR5"
"960","CXXC4"
"961","CYB5D2"
"962","CYBB"
"963","CYFIP1"
"964","CYFIP2"
"965","CYLC1"
"966","CYLC2"
"967","CYP19A1"
"968","CYP1A1"
"969","CYP1A2"
"970","CYP1B1"
"971","CYP26A1"
"972","CYP26B1"
"973","CYP26C1"
"974","CYP27B1"
"975","CYP46A1"
"976","CYP4A11"
"977","CYP4A22"
"978","CYP51A1"
"979","CYP7B1"
"980","CYTL1"
"981","DAAM2"
"982","DAB1"
"983","DAB2"
"984","DAB2IP"
"985","DACH1"
"986","DACH2"
"987","DACT1"
"988","DACT2"
"989","DAGLA"
"990","DAGLB"
"991","DAND5"
"992","DAW1"
"993","DAZ1"
"994","DAZ2"
"995","DAZ3"
"996","DAZ4"
"997","DAZAP1"
"998","DAZL"
"999","DBN1"
"1000","DBNL"
"1001","DBP"
"1002","DBX1"
"1003","DCAF1"
"1004","DCAF7"
"1005","DCANP1"
"1006","DCC"
"1007","DCDC2"
"1008","DCHS1"
"1009","DCHS2"
"1010","DCLK1"
"1011","DCLK2"
"1012","DCLRE1C"
"1013","DCN"
"1014","DCSTAMP"
"1015","DCT"
"1016","DCTN1"
"1017","DCTN5"
"1018","DCX"
"1019","DDAH1"
"1020","DDC"
"1021","DDIT3"
"1022","DDIT4"
"1023","DDR1"
"1024","DDR2"
"1025","DDX11"
"1026","DDX25"
"1027","DDX39B"
"1028","DDX4"
"1029","DDX5"
"1030","DEDD"
"1031","DGAT2"
"1032","DGCR2"
"1033","DGCR6"
"1034","DGKD"
"1035","DGKG"
"1036","DHCR24"
"1037","DHFR"
"1038","DHH"
"1039","DHODH"
"1040","DHRS2"
"1041","DHRS3"
"1042","DHTKD1"
"1043","DHX35"
"1044","DHX36"
"1045","DHX37"
"1046","DIAPH2"
"1047","DICER1"
"1048","DIEXF"
"1049","DIO3"
"1050","DIP2A"
"1051","DIP2B"
"1052","DIPK2A"
"1053","DISC1"
"1054","DISP1"
"1055","DIXDC1"
"1056","DKK1"
"1057","DKK2"
"1058","DKK3"
"1059","DKK4"
"1060","DLC1"
"1061","DLG1"
"1062","DLG2"
"1063","DLG3"
"1064","DLG4"
"1065","DLG5"
"1066","DLL1"
"1067","DLL3"
"1068","DLL4"
"1069","DLX1"
"1070","DLX2"
"1071","DLX3"
"1072","DLX4"
"1073","DLX5"
"1074","DLX6"
"1075","DMBT1"
"1076","DMBX1"
"1077","DMC1"
"1078","DMD"
"1079","DMP1"
"1080","DMRT1"
"1081","DMRT2"
"1082","DMRT3"
"1083","DMRTA1"
"1084","DMRTA2"
"1085","DMTN"
"1086","DNAAF1"
"1087","DNAAF2"
"1088","DNAAF4"
"1089","DNAH11"
"1090","DNAH5"
"1091","DNAI1"
"1092","DNAI2"
"1093","DNAI4"
"1094","DNAJB1"
"1095","DNAJC19"
"1096","DNAJC30"
"1097","DNASE1L2"
"1098","DND1"
"1099","DNER"
"1100","DNM1L"
"1101","DNM2"
"1102","DNM3"
"1103","DNMT1"
"1104","DNMT3A"
"1105","DOC2A"
"1106","DOCK10"
"1107","DOCK11"
"1108","DOCK2"
"1109","DOCK7"
"1110","DOK1"
"1111","DOK2"
"1112","DOK4"
"1113","DOK5"
"1114","DOK6"
"1115","DONSON"
"1116","DOP1B"
"1117","DPCD"
"1118","DPF1"
"1119","DPF2"
"1120","DPF3"
"1121","DPPA2"
"1122","DPPA3"
"1123","DPPA4"
"1124","DPPA5"
"1125","DPY19L2"
"1126","DPYSL2"
"1127","DPYSL3"
"1128","DPYSL4"
"1129","DPYSL5"
"1130","DRAXIN"
"1131","DRC1"
"1132","DRD1"
"1133","DRD2"
"1134","DRD3"
"1135","DRGX"
"1136","DROSHA"
"1137","DRP2"
"1138","DSC1"
"1139","DSC2"
"1140","DSC3"
"1141","DSCAM"
"1142","DSCAML1"
"1143","DSG1"
"1144","DSG2"
"1145","DSG3"
"1146","DSG4"
"1147","DSP"
"1148","DSPP"
"1149","DTNB"
"1150","DTNBP1"
"1151","DTX1"
"1152","DUOX1"
"1153","DUOX2"
"1154","DUSP1"
"1155","DUSP10"
"1156","DUSP2"
"1157","DUSP4"
"1158","DUSP5"
"1159","DUSP6"
"1160","DUSP9"
"1161","DUX4"
"1162","DVL1P1"
"1163","DYM"
"1164","DYNC2H1"
"1165","DYNC2I1"
"1166","DYNC2LI1"
"1167","DYRK1A"
"1168","DYRK1B"
"1169","DYRK3"
"1170","DZIP1"
"1171","DZIP1L"
"1172","E2F1"
"1173","E2F2"
"1174","E2F7"
"1175","E2F8"
"1176","EBF1"
"1177","EBF2"
"1178","EBF3"
"1179","EBF4"
"1180","EBP"
"1181","ECE1"
"1182","ECM1"
"1183","ECRG4"
"1184","ECSCR"
"1185","ECT2"
"1186","EDA"
"1187","EDA2R"
"1188","EDAR"
"1189","EDARADD"
"1190","EDIL3"
"1191","EDN1"
"1192","EDN2"
"1193","EDN3"
"1194","EDNRA"
"1195","EDNRB"
"1196","EED"
"1197","EEF1AKMT4-ECE2"
"1198","EEF2K"
"1199","EFEMP1"
"1200","EFEMP2"
"1201","EFHC1"
"1202","EFHD1"
"1203","EFNA1"
"1204","EFNA2"
"1205","EFNA3"
"1206","EFNA4"
"1207","EFNA5"
"1208","EFNB1"
"1209","EFNB2"
"1210","EFNB3"
"1211","EGF"
"1212","EGFL6"
"1213","EGFL7"
"1214","EGFL8"
"1215","EGFLAM"
"1216","EGFR"
"1217","EGLN1"
"1218","EGR1"
"1219","EGR2"
"1220","EGR3"
"1221","EHD1"
"1222","EHF"
"1223","EHMT1"
"1224","EHMT2"
"1225","EID2B"
"1226","EIF2AK3"
"1227","EIF2AK4"
"1228","EIF2B2"
"1229","EIF2B4"
"1230","EIF2B5"
"1231","EIF4E"
"1232","EIF4EBP1"
"1233","EIF6"
"1234","ELAPOR2"
"1235","ELAVL3"
"1236","ELAVL4"
"1237","ELF3"
"1238","ELK3"
"1239","ELL3"
"1240","ELN"
"1241","ELP3"
"1242","EMB"
"1243","EMC10"
"1244","EMG1"
"1245","EMILIN1"
"1246","emilin2_human"
"1247","EML1"
"1248","EMP2"
"1249","EMX1"
"1250","EMX2"
"1251","EN1"
"1252","EN2"
"1253","ENAH"
"1254","ENAM"
"1255","ENC1"
"1256","ENDOG"
"1257","ENG"
"1258","ENKUR"
"1259","ENPEP"
"1260","ENPP1"
