"","x"
"819","EVI2B"
"820","EVL"
"821","EVPL"
"822","EXOC4"
"823","EXPH5"
"824","EXT1"
"825","EXT2"
"826","EYA1"
"827","EYA4"
"828","EZH1"
"829","EZH2"
"830","EZR"
"831","F2RL1"
"832","F7"
"833","FA2H"
"834","FADD"
"835","FAIM2"
"836","FAM172A"
"837","FAM20A"
"838","FAM20C"
"839","FAM210B"
"840","FAM83D"
"841","FAM83H"
"842","FANCA"
"843","FANCC"
"844","FANCG"
"845","FARP2"
"846","FASLG"
"847","FASN"
"848","FAT1"
"849","FAT4"
"850","FAXDC2"
"851","FBN1"
"852","FBN2"
"853","FBXL15"
"854","FBXL17"
"855","FBXO45"
"856","FBXO7"
"857","FBXW11"
"858","FBXW7"
"859","FBXW8"
"860","FCER1G"
"861","FCGR2B"
"862","FCRL3"
"863","FES"
"864","FEZ1"
"865","FEZF1"
"866","FEZF2"
"867","FGD1"
"868","FGF1"
"869","FGF10"
"870","FGF12"
"871","FGF13"
"872","FGF16"
"873","FGF17"
"874","FGF18"
"875","FGF19"
"876","FGF2"
"877","FGF20"
"878","FGF21"
"879","FGF22"
"880","FGF23"
"881","FGF3"
"882","FGF4"
"883","FGF5"
"884","FGF6"
"885","FGF7"
"886","FGF8"
"887","FGF9"
"888","FGFR1"
"889","FGFR2"
"890","FGFR3"
"891","FGFRL1"
"892","FGL1"
"893","FGL2"
"894","FGR"
"895","FHL1"
"896","FHL2"
"897","FHL3"
"898","FHOD3"
"899","FJX1"
"900","FKTN"
"901","FLG"
"902","FLG2"
"903","FLI1"
"904","FLNA"
"905","FLNB"
"906","FLOT1"
"907","FLRT2"
"908","FLRT3"
"909","FLT1"
"910","FLT3"
"911","FLT3LG"
"912","FLT4"
"913","FLVCR1"
"914","FMN1"
"915","FN1"
"916","FNDC3A"
"917","FNIP1"
"918","FOLR1"
"919","FOS"
"920","FOSL1"
"921","FOSL2"
"922","FOXA1"
"923","FOXA2"
"924","FOXB1"
"925","FOXC1"
"926","FOXC2"
"927","FOXD1"
"928","FOXE1"
"929","FOXE3"
"930","FOXF1"
"931","FOXF2"
"932","FOXG1"
"933","FOXH1"
"934","FOXI1"
"935","FOXJ1"
"936","FOXK1"
"937","FOXL1"
"938","FOXL2"
"939","FOXN1"
"940","FOXN2"
"941","FOXN3"
"942","FOXN4"
"943","FOXO1"
"944","FOXO3"
"945","FOXO4"
"946","FOXP1"
"947","FOXP2"
"948","FOXP3"
"949","FOXQ1"
"950","FPGS"
"951","FRAS1"
"952","FREM1"
"953","FREM2"
"954","FRS2"
"955","FRZB"
"956","FSCN2"
"957","FSHB"
"958","FSHR"
"959","FST"
"960","FSTL3"
"961","FTO"
"962","FUT1"
"963","FUT10"
"964","FUT7"
"965","FUZ"
"966","FXR1"
"967","FYN"
"968","FZD1"
"969","FZD2"
"970","FZD3"
"971","FZD4"
"972","FZD5"
"973","FZD6"
"974","FZD7"
"975","FZD9"
"976","G6PD"
"977","GAB2"
"978","GAB3"
"979","GABPA"
"980","GABRA5"
"981","GABRB2"
"982","GAMT"
"983","GART"
"984","GAS2"
